2022-01-26 14:43:52 status unpacked liblockfile1:amd64 1.14-1.1
2022-01-26 14:43:52 status half-configured liblockfile1:amd64 1.14-1.1
2022-01-26 14:43:52 status installed liblockfile1:amd64 1.14-1.1
2022-01-26 14:43:52 configure m4:amd64 1.4.18-2 <none>
2022-01-26 14:43:52 status unpacked m4:amd64 1.4.18-2
2022-01-26 14:43:52 status half-configured m4:amd64 1.4.18-2
2022-01-26 14:43:52 status installed m4:amd64 1.4.18-2
2022-01-26 14:43:52 configure lockfile-progs:amd64 0.1.18 <none>
2022-01-26 14:43:52 status unpacked lockfile-progs:amd64 0.1.18
2022-01-26 14:43:52 status half-configured lockfile-progs:amd64 0.1.18
2022-01-26 14:43:52 status installed lockfile-progs:amd64 0.1.18
2022-01-26 14:43:52 configure sendmail-cf:all 8.15.2-14~deb10u1 <none>
2022-01-26 14:43:52 status unpacked sendmail-cf:all 8.15.2-14~deb10u1
2022-01-26 14:43:52 status half-configured sendmail-cf:all 8.15.2-14~deb10u1
2022-01-26 14:43:52 status installed sendmail-cf:all 8.15.2-14~deb10u1
2022-01-26 14:43:52 configure sendmail-base:all 8.15.2-14~deb10u1 <none>
2022-01-26 14:43:52 status unpacked sendmail-base:all 8.15.2-14~deb10u1
2022-01-26 14:43:52 status half-configured sendmail-base:all 8.15.2-14~deb10u1
2022-01-26 14:43:52 status installed sendmail-base:all 8.15.2-14~deb10u1
2022-01-26 14:43:52 configure sendmail-bin:amd64 8.15.2-14~deb10u1 <none>
2022-01-26 14:43:52 status unpacked sendmail-bin:amd64 8.15.2-14~deb10u1
2022-01-26 14:43:52 status half-configured sendmail-bin:amd64 8.15.2-14~deb10u1
2022-01-26 14:43:57 status installed sendmail-bin:amd64 8.15.2-14~deb10u1
2022-01-26 14:43:57 configure sensible-mda:amd64 8.15.2-14~deb10u1 <none>
2022-01-26 14:43:57 status unpacked sensible-mda:amd64 8.15.2-14~deb10u1
2022-01-26 14:43:57 status half-configured sensible-mda:amd64 8.15.2-14~deb10u1
2022-01-26 14:43:57 status installed sensible-mda:amd64 8.15.2-14~deb10u1
2022-01-26 14:43:57 configure sendmail:all 8.15.2-14~deb10u1 <none>
2022-01-26 14:43:57 status unpacked sendmail:all 8.15.2-14~deb10u1
2022-01-26 14:43:57 status half-configured sendmail:all 8.15.2-14~deb10u1
2022-01-26 14:43:57 status installed sendmail:all 8.15.2-14~deb10u1
2022-01-26 14:43:57 trigproc libc-bin:amd64 2.28-10 <none>
2022-01-26 14:43:57 status half-configured libc-bin:amd64 2.28-10
2022-01-26 14:43:57 status installed libc-bin:amd64 2.28-10
2022-01-26 14:43:57 trigproc systemd:amd64 241-7~deb10u8 <none>
2022-01-26 14:43:57 status half-configured systemd:amd64 241-7~deb10u8
2022-01-26 14:43:58 status installed systemd:amd64 241-7~deb10u8
2022-01-26 14:43:58 trigproc man-db:amd64 2.8.5-2 <none>
2022-01-26 14:43:58 status half-configured man-db:amd64 2.8.5-2
2022-01-26 14:43:58 status installed man-db:amd64 2.8.5-2
2022-01-26 15:52:44 startup packages remove
2022-01-26 15:52:44 status installed sendmail:all 8.15.2-14~deb10u1
2022-01-26 15:52:44 remove sendmail:all 8.15.2-14~deb10u1 <none>
2022-01-26 15:52:44 status half-configured sendmail:all 8.15.2-14~deb10u1
2022-01-26 15:52:44 status half-installed sendmail:all 8.15.2-14~deb10u1
2022-01-26 15:52:44 status config-files sendmail:all 8.15.2-14~deb10u1
2022-01-26 15:52:44 status not-installed sendmail:all <none>
2022-01-26 15:52:44 startup archives unpack
2022-01-26 15:52:45 install ssl-cert:all <none> 1.0.39
2022-01-26 15:52:45 status half-installed ssl-cert:all 1.0.39
2022-01-26 15:52:45 status triggers-pending man-db:amd64 2.8.5-2
2022-01-26 15:52:45 status unpacked ssl-cert:all 1.0.39
2022-01-26 15:52:45 startup packages remove
2022-01-26 15:52:45 status installed sendmail-bin:amd64 8.15.2-14~deb10u1
2022-01-26 15:52:45 remove sendmail-bin:amd64 8.15.2-14~deb10u1 <none>
2022-01-26 15:52:45 status half-configured sendmail-bin:amd64 8.15.2-14~deb10u1
2022-01-26 15:52:47 status half-installed sendmail-bin:amd64 8.15.2-14~deb10u1
2022-01-26 15:52:47 status config-files sendmail-bin:amd64 8.15.2-14~deb10u1
2022-01-26 15:52:47 startup archives unpack
2022-01-26 15:52:47 install postfix:amd64 <none> 3.4.14-0+deb10u1
2022-01-26 15:52:47 status half-installed postfix:amd64 3.4.14-0+deb10u1
2022-01-26 15:52:47 status triggers-pending systemd:amd64 241-7~deb10u8
2022-01-26 15:52:47 status triggers-pending rsyslog:amd64 8.1901.0-1
2022-01-26 15:52:48 status unpacked postfix:amd64 3.4.14-0+deb10u1
2022-01-26 15:52:48 startup packages configure
2022-01-26 15:52:48 configure ssl-cert:all 1.0.39 <none>
2022-01-26 15:52:48 status unpacked ssl-cert:all 1.0.39
2022-01-26 15:52:48 status half-configured ssl-cert:all 1.0.39
2022-01-26 15:52:48 status installed ssl-cert:all 1.0.39
2022-01-26 15:52:48 configure postfix:amd64 3.4.14-0+deb10u1 <none>
2022-01-26 15:52:48 status unpacked postfix:amd64 3.4.14-0+deb10u1
2022-01-26 15:52:48 status half-configured postfix:amd64 3.4.14-0+deb10u1
2022-01-26 15:52:56 status installed postfix:amd64 3.4.14-0+deb10u1
2022-01-26 15:52:56 trigproc systemd:amd64 241-7~deb10u8 <none>
2022-01-26 15:52:56 status half-configured systemd:amd64 241-7~deb10u8
2022-01-26 15:52:56 status installed systemd:amd64 241-7~deb10u8
2022-01-26 15:52:56 trigproc man-db:amd64 2.8.5-2 <none>
2022-01-26 15:52:56 status half-configured man-db:amd64 2.8.5-2
2022-01-26 15:52:58 status installed man-db:amd64 2.8.5-2
2022-01-26 15:52:58 trigproc rsyslog:amd64 8.1901.0-1 <none>
2022-01-26 15:52:58 status half-configured rsyslog:amd64 8.1901.0-1
2022-01-26 15:52:58 status installed rsyslog:amd64 8.1901.0-1
2022-01-26 16:03:28 startup archives unpack
